"unique_id","TEHC_ST"
"29228527619818 101",4
"29228527619818 102",4
"29228527619818 103",4
"29228527619818 104",4
"29228527619818 105",4
"29228527619818 106",4
"29228527636518 101",34
"29228527645118 101",4
"29228527653418 101",19
"29228527653418 102",19
"29228527655218 101",4
"29228527655218 102",4
"29228527693518 101",6
"29228528509718 101",34
"29228528509718 102",34
"29228528509718 103",34
"29228528509718 104",34
"29228528516718 101",24
"29228528516718 102",24
"29228528516718 103",24
"29228528516718 104",24
"29228528523318 101",44
"29228528529718 101",24
"29228528529718 102",24
"29228528530118 101",34
"29228528530118 102",34
"29228528530118 103",34
"29228528530118 104",34
"29228528536518 101",34
"29228528548618 101",34
"29228528548618 102",34
"29228528550218 101",24
"29228528559618 101",24
"29228528562218 101",24
"29228528575518 101",44
"29228528578818 101",24
"29228528578818 102",24
"29228528593318 101",25
"29228528595018 101",44
"29228528596418 101",34
"29228533408518 101",4
"29228533408518 102",4
"29228533408518 103",4
"29228533412718 101",4
"29228533412718 102",4
"29228533412718 103",4
"29228533423218 101",4
"29228533423218 102",4
"29228533430118 101",34
"29228533430118 102",34
"29228533431118 101",34
"29228533431118 102",34
"29228533431118 103",34
"29228533445118 101",4
"29228533445118 102",4
"29228533445118 103",4
"29228533445118 104",4
"29228533465318 101",34
"29228533465318 102",34
"29228533477818 101",34
"29228533482918 101",4
"29228533482918 102",4
"29228533482918 103",4
"29228533482918 104",4
"29228533482918 105",4
"29228533482918 106",4
"29228533492518 101",4
"29228533492518 102",4
"29228533498818 101",34
"29228533498818 102",34
"29228533498818 103",34
"29228533498818 104",34
"29228534211618 101",24
"29228534211618 102",24
"29228534219418 101",24
"29228534219418 102",24
"29228534219418 103",24
"29228534219418 104",24
"29228534219418 105",24
"29228534219418 106",24
"29228534219418 107",24
"29228534226718 101",24
"29228534243118 101",24
"29228534243118 102",24
"29228534243118 103",24
"29228534256818 101",24
"29228534256818 102",24
"29228534256818 103",24
"29228534260218 101",24
"29228534260218 102",24
"29228534260218 103",24
"29228534260218 104",24
"29228534277318 101",24
"29228534291918 101",24
"29228534291918 102",24
"29228534291918 103",24
"29228534291918 104",24
"29228534291918 105",24
"29228534293218 101",24
"29228534296718 101",24
"29228534296718 102",24
"29228534296718 103",24
"29228534408518 101",4
"29228534408518 102",4
"29228534419518 101",4
"29228534419518 102",4
"29228534419518 103",4
"29228534419518 104",4
"29228534423218 101",4
"29228534423218 102",4
"29228534438818 101",4
"29228534438818 102",4
"29228534438818 103",4
"29228534475118 101",4
"29228534475118 102",4
"29228534478418 101",4
"29228534478418 102",4
"29228534482918 101",4
"29228534482918 102",4
"29228534492518 101",35
"29228534493518 101",4
"29228540605818 101",34
"29228540608518 101",4
"29228540608518 102",4
"29228540612718 101",4
"29228540612718 102",4
"29228540612718 103",4
"29228540612718 104",4
"29228540612718 105",4
"29228540612718 106",4
"29228540619518 101",4
"29228540619518 102",4
"29228540619518 103",4
"29228540623218 101",4
"29228540623218 102",4
"29228540623218 103",4
"29228540623218 104",4
"29228540623218 105",4
"29228540631118 101",34
"29228540631118 102",34
"29228540631118 103",34
"29228540631118 104",34
"29228540631118 105",34
"29228540638818 101",4
"29228540645118 101",4
"29228540648618 101",34
"29228540648618 102",34
"29228540648618 103",34
"29228540653418 101",4
"29228540653418 102",4
"29228540663818 101",34
"29228540663818 102",34
"29228540663818 103",34
"29228540682918 101",4
"29228540682918 102",4
"29228540693518 101",4
"29228540693518 102",4
"29228540803318 101",4
"29228540803318 102",4
"29228540805818 101",34
"29228540805818 102",34
"29228540809718 101",34
"29228540809718 102",34
"29228540809718 103",34
"29228540812718 101",4
"29228540816018 101",4
"29228540818918 101",4
"29228540818918 102",4
"29228540819818 101",4
"29228540819818 102",4
"29228540819818 103",4
"29228540819818 104",4
"29228540819818 105",4
"29228540819818 106",4
"29228540819818 107",4
"29228540836518 101",34
"29228540836518 102",34
"29228540836518 103",34
"29228540836518 104",34
"29228540838818 101",4
"29228540838818 102",4
"29228540838818 103",4
"29228540845118 101",4
"29228540846718 101",4
"29228540846718 102",4
"29228540846718 103",4
"29228540863818 101",34
"29228540863818 102",34
"29228540867118 101",4
"29228540867118 102",4
"29228540867118 103",4
"29228540867118 104",4
"29228540875118 101",4
"29228540875118 102",4
"29228540875118 103",4
"29228540875118 104",4
"29228540882918 101",4
"29228540882918 102",4
"29228540892518 101",4
"29228540892518 102",4
"29228541808518 101",4
"29228541808518 102",4
"29228541809718 101",34
"29228541812018 101",34
"29228541812018 102",34
"29228541812018 103",34
"29228541819518 101",4
"29228541823218 101",4
"29228541823218 102",4
"29228541830118 101",34
"29228541845118 101",4
"29228541845118 102",4
"29228541845118 103",4
"29228541848618 101",34
"29228541851818 101",34
"29228541851818 102",34
"29228541851818 103",34
"29228541851818 104",34
"29228541858818 101",34
"29228541877818 101",34
"29228541877818 102",34
"29228541877818 103",34
"29228541882918 101",4
"29228541882918 102",4
"29228541882918 103",4
"29228541893518 101",4
"29228541893518 102",4
"29228555225818 101",36
"29228555225818 102",36
"29228555231118 101",34
"29228555231118 102",34
"29228555253818 101",24
"29228555258818 101",34
"29228555277818 101",34
"29228555277818 102",34
"29228555280118 101",34
"29228555280118 102",34
"29228555280118 103",34
"29228555280118 104",34
"29228555298818 101",34
"29228558821018 101",34
"29228558827718 101",34
"29228558827718 102",34
"29228558827718 103",34
"29228558827718 104",34
"29228558827718 105",34
"29228558838618 101",34
"29228558840218 101",34
"29228558840218 102",34
"29228558840218 103",34
"29228558840218 104",34
"29228558887318 101",54
"29228560641418 101",34
"29228560641418 102",34
"29228560641418 103",34
"29228560641418 104",34
"29228568408518 101",4
"29228568408518 102",4
"29228568408518 103",4
